id,t1,t2,y1,y2,sd1,sd2,n1,n2,rob,Indirectness
"KAWASHIMA et al., 1986- 1",amitriptilina,clomipramina,169.5445490016066,224.7803534542116,23.1799892193567,26.26172189013823,2,2,M,L
"KAWASHIMA et al., 1986- 1",amitriptilina,desipramina,169.5445490016066,80.95882487950425,23.1799892193567,34.0330477555873,2,2,M,L
"KAWASHIMA et al., 1986- 1",amitriptilina,imipramina,169.5445490016066,92.42285976589397,23.1799892193567,10.8530585362306,2,2,M,L
"KAWASHIMA et al., 1986- 1",clomipramina,desipramina,224.7803534542116,80.95882487950425,26.26172189013823,34.0330477555873,2,2,M,L
"KAWASHIMA et al., 1986- 1",clomipramina,imipramina,224.7803534542116,92.42285976589397,26.26172189013823,10.8530585362306,2,2,M,L
"KAWASHIMA et al., 1986- 1",desipramina,imipramina,80.95882487950425,92.42285976589397,34.0330477555873,10.8530585362306,2,2,M,L
"KUSMIDER et al., 2007- 1",veículo,citalopram,27.99499195135039,24.9686996959399,11.67592524398892,8.579882674958933,4,8,M,L
"KUSMIDER et al., 2007- 2",veículo,citalopram,27.99499195135039,22.55052763369701,11.67592524398892,9.591661292288995,4,8,M,L
"KUSMIDER et al., 2007- 3",veículo,desipramina,29.99466666666667,21.81688888888889,6.13454416389396,9.553798288031576,4,8,M,L
"KUSMIDER et al., 2007- 4",veículo,desipramina,29.99466666666667,15.18222222222222,6.13454416389396,8.849834203650303,4,8,M,L
"NAGASAWA, M. et al., 2015- 1",veículo,imipramina,39.42257217847768,24.88188976377953,19.08986514012408,13.44590501173957,10,10,M,L
"NAKAGAWA, Y. et al., 1998- 1",veículo,imipramina,210.7826086956522,196.3826086956522,26.72812074507535,34.31758712947946,3,10,M,L
"NAKAGAWA, Y. et al., 1998- 2",veículo,imipramina,210.7826086956522,110.0869565217391,26.72812074507535,37.94733192202055,3,10,M,L
"NAKAGAWA, Y. et al., 1998- 3",veículo,imipramina,210.7826086956522,63.86086956521739,26.72812074507535,19.13865436067124,3,10,M,L
"NAKAGAWA, Y. et al., 1998- 4",veículo,desipramina,211.3253856942497,196.7040673211781,34.59434186439462,30.60268703388755,3,10,M,L
"NAKAGAWA, Y. et al., 1998- 5",veículo,desipramina,211.3253856942497,110.5539971949509,34.59434186439462,46.23666845337356,3,10,M,L
"NAKAGAWA, Y. et al., 1998- 6",veículo,desipramina,211.3253856942497,54.69845722300141,34.59434186439462,15.30134351694377,3,10,M,L
"NAKAGAWA, Y. et al., 1998- 7",veículo,mianserina,209.7887323943662,197.5352112676056,19.3745180587781,23.04899562164981,3,10,M,L
"NAKAGAWA, Y. et al., 1998- 8",veículo,mianserina,209.7887323943662,122.0070422535211,19.3745180587781,23.04899562164981,3,10,M,L
"NAKAGAWA, Y. et al., 1998- 9",veículo,mianserina,209.7887323943662,80.49295774647888,19.3745180587781,30.73199416219975,3,10,M,L
"TAKAMORI et al., 2001- 1",veículo,imipramina,209.7636176772867,168.96197327852,32.98778854132481,36.07531554765572,3,10,M,L
"TAKAMORI et al., 2001- 10",veículo,clomipramina,182.051282051282,164.4042232277526,23.53027117671796,26.3920609144269,3,10,M,L
"TAKAMORI et al., 2001- 11",veículo,clomipramina,182.051282051282,164.4042232277526,23.53027117671796,41.17797455925643,3,10,M,L
"TAKAMORI et al., 2001- 12",veículo,clomipramina,182.051282051282,167.1694318753142,23.53027117671796,35.29540676507694,3,10,M,L
"TAKAMORI et al., 2001- 13",veículo,fluvoxamina,186.6767219708396,177.4258421317245,26.3920609144269,41.17797455925643,3,10,M,L
"TAKAMORI et al., 2001- 14",veículo,fluvoxamina,186.6767219708396,168.1246857717446,26.3920609144269,35.29540676507694,3,10,M,L
"TAKAMORI et al., 2001- 15",veículo,fluvoxamina,186.6767219708396,171.8451483157365,26.3920609144269,44.03976429696537,3,10,M,L
"TAKAMORI et al., 2001- 16",veículo,mianserina,186.2049654657457,192.4211312301661,32.76207021455014,55.78406550045023,3,10,M,L
"TAKAMORI et al., 2001- 17",veículo,mianserina,186.2049654657457,194.4931864849729,32.76207021455014,52.41931234328022,3,10,M,L
"TAKAMORI et al., 2001- 18",veículo,mianserina,186.2049654657457,147.9559454918798,32.76207021455014,42.50214514320017,3,10,M,L
"TAKAMORI et al., 2001- 2",veículo,imipramina,209.7636176772867,161.3566289825283,32.98778854132481,24.05021036510381,3,10,M,L
"TAKAMORI et al., 2001- 3",veículo,imipramina,209.7636176772867,133.8643371017472,32.98778854132481,48.10042073020762,3,10,M,L
"TAKAMORI et al., 2001- 4",veículo,amitriptilina,190.6026557711951,179.2645556690501,32.78561619071405,35.85422066176611,3,10,M,L
"TAKAMORI et al., 2001- 5",veículo,amitriptilina,190.6026557711951,124.514811031665,32.78561619071405,26.80991274708636,3,10,M,L
"TAKAMORI et al., 2001- 6",veículo,amitriptilina,190.6026557711951,115.1174668028601,32.78561619071405,41.82992410539379,3,10,M,L
"TAKAMORI et al., 2001- 7",veículo,amoxapina,195.0226244343891,215.4851684263449,20.50949312024741,41.17797455925643,3,10,M,L
"TAKAMORI et al., 2001- 8",veículo,amoxapina,195.0226244343891,207.1392659627954,20.50949312024741,38.15719650278587,3,10,M,L
"TAKAMORI et al., 2001- 9",veículo,amoxapina,195.0226244343891,206.184012066365,20.50949312024741,44.03976429696537,3,10,M,L
"VAZQUEZ-PALACIOS et al., 2004- 1",veículo,fluoxetina,38.80477377983613,40.26540790879943,4.590766464262967,6.421440207680713,10,10,M,L
"VAZQUEZ-PALACIOS et al., 2004- 2",veículo,fluoxetina,38.54251012145749,28.46153846153846,5.249124861008242,3.926174692786653,10,10,M,L
"VAZQUEZ-PALACIOS et al., 2004- 3",veículo,fluoxetina,38.69272237196766,21.88679245283019,4.901104190287919,10.1857730563375,10,10,M,L
"VAZQUEZ-PALACIOS et al., 2005- 1",veículo,fluoxetina,41.6701116163704,39.66101694915254,5.882699243802277,6.353315183306458,10,10,M,L
"VAZQUEZ-PALACIOS et al., 2005- 3",veículo,fluoxetina,41.47294795309608,28.64842624974286,7.650356980781761,5.425508266982984,10,10,M,L
"VAZQUEZ-PALACIOS et al., 2005- 5",veículo,fluoxetina,39.53778135048231,15.73553054662379,4.384991128448919,11.01967335758033,10,10,M,L
